backbone,protocol,dataset,seed,method_pair,task_type,metric_type,fullft_metric,peft_metric,fullft_bad_minus_peft_bad,direction
chemberta2,random,freesolv,2,fullft_vs_dora,regression,rmse,1.9163193457112817,1.703108061260018,0.2132112844512637,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,10,fullft_vs_lora,regression,rmse,1.3157534013371153,1.264076368635413,0.05167703270170221,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,10,fullft_vs_dora,regression,rmse,1.3157534013371153,1.2674236467978421,0.04832975453927313,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,100,fullft_vs_lora,regression,rmse,1.5565469634669393,0.9103476196282245,0.6461993438387148,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,100,fullft_vs_dora,regression,rmse,1.5565469634669393,0.9060015502268011,0.6505454132401383,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,1000,fullft_vs_lora,regression,rmse,1.483271700760922,1.5318901125389286,-0.04861841177800663,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,1000,fullft_vs_dora,regression,rmse,1.483271700760922,1.5241437008759378,-0.040872000115015794,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,0,fullft_vs_lora,regression,rmse,0.7796452635063968,0.7701278929579429,0.009517370548453918,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,0,fullft_vs_dora,regression,rmse,0.7796452635063968,0.8071259523350363,-0.02748068882863941,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,1,fullft_vs_lora,regression,rmse,0.7682828119373407,0.7244615429714457,0.043821268965895,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,1,fullft_vs_dora,regression,rmse,0.7682828119373407,0.7239197279335984,0.04436308400374234,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,2,fullft_vs_lora,regression,rmse,0.6785554996033459,0.7027191898386811,-0.024163690235335156,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
