backbone,dataset,method,seed,protocol,task_type,metric_type,final_metric,status,epochs_completed,epochs_requested,batch_size,lr,weight_decay,trainable_params,elapsed_sec,peak_mib,checkpoint_path,checkpoint_exists,training_log
chemberta2,esol,fullft,10,random,regression,rmse,0.7785999365370749,PASS,50,50,50,2e-05,0.01,3427825,19.958823680877686,9756,dumped/baseline_esol_fullft_chemberta2_random_seed10/model.pt,True,dumped/baseline_esol_fullft_chemberta2_random_seed10/training.log
chemberta2,esol,fullft,100,random,regression,rmse,0.7234996101626154,PASS,50,50,50,2e-05,0.01,3427825,18.897603273391724,9780,dumped/baseline_esol_fullft_chemberta2_random_seed100/model.pt,True,dumped/baseline_esol_fullft_chemberta2_random_seed100/training.log
chemberta2,esol,fullft,1000,random,regression,rmse,0.6332308951988752,PASS,50,50,50,2e-05,0.01,3427825,19.71373963356018,9741,dumped/baseline_esol_fullft_chemberta2_random_seed1000/model.pt,True,dumped/baseline_esol_fullft_chemberta2_random_seed1000/training.log
chemberta2,lipo,fullft,0,random,regression,rmse,0.7130615029580074,PASS,50,50,50,2e-05,0.01,3427825,59.019855260849,10123,dumped/baseline_lipo_fullft_chemberta2_random_seed0/model.pt,True,dumped/baseline_lipo_fullft_chemberta2_random_seed0/training.log
chemberta2,lipo,fullft,1,random,regression,rmse,0.7954158513454803,PASS,50,50,50,2e-05,0.01,3427825,55.05648064613342,9860,dumped/baseline_lipo_fullft_chemberta2_random_seed1/model.pt,True,dumped/baseline_lipo_fullft_chemberta2_random_seed1/training.log
chemberta2,lipo,fullft,2,random,regression,rmse,0.7366382542765304,PASS,50,50,50,2e-05,0.01,3427825,54.32603693008423,9873,dumped/baseline_lipo_fullft_chemberta2_random_seed2/model.pt,True,dumped/baseline_lipo_fullft_chemberta2_random_seed2/training.log
chemberta2,lipo,fullft,10,random,regression,rmse,0.7267764197009962,PASS,50,50,50,2e-05,0.01,3427825,55.18662762641907,9931,dumped/baseline_lipo_fullft_chemberta2_random_seed10/model.pt,True,dumped/baseline_lipo_fullft_chemberta2_random_seed10/training.log
chemberta2,lipo,fullft,100,random,regression,rmse,0.7107369276220594,PASS,50,50,50,2e-05,0.01,3427825,65.23838376998901,9764,dumped/baseline_lipo_fullft_chemberta2_random_seed100/model.pt,True,dumped/baseline_lipo_fullft_chemberta2_random_seed100/training.log
chemberta2,lipo,fullft,1000,random,regression,rmse,0.7869073499675892,PASS,50,50,50,2e-05,0.01,3427825,61.85682797431946,10027,dumped/baseline_lipo_fullft_chemberta2_random_seed1000/model.pt,True,dumped/baseline_lipo_fullft_chemberta2_random_seed1000/training.log
chemberta2,bace,fullft,0,random,classification,auc,0.9246684350132626,PASS,50,50,50,2e-05,0.01,3427825,25.855295419692993,9709,dumped/baseline_bace_fullft_chemberta2_random_seed0/model.pt,True,dumped/baseline_bace_fullft_chemberta2_random_seed0/training.log
chemberta2,bace,fullft,1,random,classification,auc,0.8444326990838619,PASS,50,50,50,2e-05,0.01,3427825,25.025412559509277,9605,dumped/baseline_bace_fullft_chemberta2_random_seed1/model.pt,True,dumped/baseline_bace_fullft_chemberta2_random_seed1/training.log
chemberta2,bace,fullft,2,random,classification,auc,0.8314999126942553,PASS,50,50,50,2e-05,0.01,3427825,24.523698329925537,9539,dumped/baseline_bace_fullft_chemberta2_random_seed2/model.pt,True,dumped/baseline_bace_fullft_chemberta2_random_seed2/training.log
chemberta2,bace,fullft,10,random,classification,auc,0.8764005602240896,PASS,50,50,50,2e-05,0.01,3427825,24.260319709777832,9766,dumped/baseline_bace_fullft_chemberta2_random_seed10/model.pt,True,dumped/baseline_bace_fullft_chemberta2_random_seed10/training.log
chemberta2,bace,fullft,100,random,classification,auc,0.8304878048780487,PASS,50,50,50,2e-05,0.01,3427825,24.570246934890747,9721,dumped/baseline_bace_fullft_chemberta2_random_seed100/model.pt,True,dumped/baseline_bace_fullft_chemberta2_random_seed100/training.log
chemberta2,bace,fullft,1000,random,classification,auc,0.8832293832293833,PASS,50,50,50,2e-05,0.01,3427825,24.559517860412598,9811,dumped/baseline_bace_fullft_chemberta2_random_seed1000/model.pt,True,dumped/baseline_bace_fullft_chemberta2_random_seed1000/training.log
chemberta2,bbbp,fullft,0,random,classification,auc,0.9413109756097561,PASS,50,50,50,2e-05,0.01,3427825,32.58981394767761,10351,dumped/baseline_bbbp_fullft_chemberta2_random_seed0/model.pt,True,dumped/baseline_bbbp_fullft_chemberta2_random_seed0/training.log
chemberta2,bbbp,fullft,1,random,classification,auc,0.9765377298668357,PASS,43,50,50,2e-05,0.01,3427825,30.345553398132324,10293,dumped/baseline_bbbp_fullft_chemberta2_random_seed1/model.pt,True,dumped/baseline_bbbp_fullft_chemberta2_random_seed1/training.log
chemberta2,bbbp,fullft,2,random,classification,auc,0.9698485845951283,PASS,50,50,50,2e-05,0.01,3427825,35.351794481277466,10051,dumped/baseline_bbbp_fullft_chemberta2_random_seed2/model.pt,True,dumped/baseline_bbbp_fullft_chemberta2_random_seed2/training.log
chemberta2,bbbp,fullft,10,random,classification,auc,0.9616120679950467,PASS,50,50,50,2e-05,0.01,3427825,34.721556425094604,10325,dumped/baseline_bbbp_fullft_chemberta2_random_seed10/model.pt,True,dumped/baseline_bbbp_fullft_chemberta2_random_seed10/training.log
chemberta2,bbbp,fullft,100,random,classification,auc,0.9584479911942763,PASS,46,50,50,2e-05,0.01,3427825,29.783991813659668,10013,dumped/baseline_bbbp_fullft_chemberta2_random_seed100/model.pt,True,dumped/baseline_bbbp_fullft_chemberta2_random_seed100/training.log
chemberta2,bbbp,fullft,1000,random,classification,auc,0.9696022727272727,PASS,45,50,50,2e-05,0.01,3427825,32.318790435791016,10477,dumped/baseline_bbbp_fullft_chemberta2_random_seed1000/model.pt,True,dumped/baseline_bbbp_fullft_chemberta2_random_seed1000/training.log
chemberta2,sider,fullft,0,random,classification,mean_auc,0.6326743262398066,PASS,50,50,50,2e-05,0.01,3437835,55.44404339790344,11203,dumped/baseline_sider_fullft_chemberta2_random_seed0/model.pt,True,dumped/baseline_sider_fullft_chemberta2_random_seed0/training.log
chemberta2,sider,fullft,1,random,classification,mean_auc,0.5827047649741096,PASS,50,50,50,2e-05,0.01,3437835,52.094059228897095,11164,dumped/baseline_sider_fullft_chemberta2_random_seed1/model.pt,True,dumped/baseline_sider_fullft_chemberta2_random_seed1/training.log
chemberta2,sider,fullft,2,random,classification,mean_auc,0.5396532544780044,PASS,50,50,50,2e-05,0.01,3437835,52.12580895423889,11073,dumped/baseline_sider_fullft_chemberta2_random_seed2/model.pt,True,dumped/baseline_sider_fullft_chemberta2_random_seed2/training.log
chemberta2,sider,fullft,10,random,classification,mean_auc,0.5860660436011557,PASS,50,50,50,2e-05,0.01,3437835,49.11915040016174,10994,dumped/baseline_sider_fullft_chemberta2_random_seed10/model.pt,True,dumped/baseline_sider_fullft_chemberta2_random_seed10/training.log
chemberta2,sider,fullft,100,random,classification,mean_auc,0.6428502173074644,PASS,50,50,50,2e-05,0.01,3437835,51.301573276519775,11042,dumped/baseline_sider_fullft_chemberta2_random_seed100/model.pt,True,dumped/baseline_sider_fullft_chemberta2_random_seed100/training.log
chemberta2,sider,fullft,1000,random,classification,mean_auc,0.5632262716803258,PASS,50,50,50,2e-05,0.01,3437835,50.10535740852356,11290,dumped/baseline_sider_fullft_chemberta2_random_seed1000/model.pt,True,dumped/baseline_sider_fullft_chemberta2_random_seed1000/training.log
molformer_c3,freesolv,fullft,0,random,regression,rmse,0.8918120521192998,PASS,50,50,50,2e-05,0.01,44375809,37.3928542137146,11203,dumped/baseline_freesolv_fullft_molformer_c3_random_seed0/model.pt,True,dumped/baseline_freesolv_fullft_molformer_c3_random_seed0/training.log
molformer_c3,freesolv,fullft,1,random,regression,rmse,0.8466067871247949,PASS,50,50,50,2e-05,0.01,44375809,39.40872311592102,11136,dumped/baseline_freesolv_fullft_molformer_c3_random_seed1/model.pt,True,dumped/baseline_freesolv_fullft_molformer_c3_random_seed1/training.log
molformer_c3,freesolv,fullft,2,random,regression,rmse,1.6361407804938335,PASS,50,50,50,2e-05,0.01,44375809,37.38769793510437,11216,dumped/baseline_freesolv_fullft_molformer_c3_random_seed2/model.pt,True,dumped/baseline_freesolv_fullft_molformer_c3_random_seed2/training.log
molformer_c3,freesolv,fullft,10,random,regression,rmse,1.0529887329143615,PASS,47,50,50,2e-05,0.01,44375809,34.506113052368164,11195,dumped/baseline_freesolv_fullft_molformer_c3_random_seed10/model.pt,True,dumped/baseline_freesolv_fullft_molformer_c3_random_seed10/training.log
molformer_c3,freesolv,fullft,100,random,regression,rmse,1.0360951897696438,PASS,50,50,50,2e-05,0.01,44375809,38.64452505111694,11172,dumped/baseline_freesolv_fullft_molformer_c3_random_seed100/model.pt,True,dumped/baseline_freesolv_fullft_molformer_c3_random_seed100/training.log
molformer_c3,freesolv,fullft,1000,random,regression,rmse,1.0563448282143837,PASS,50,50,50,2e-05,0.01,44375809,35.44140815734863,11197,dumped/baseline_freesolv_fullft_molformer_c3_random_seed1000/model.pt,True,dumped/baseline_freesolv_fullft_molformer_c3_random_seed1000/training.log
molformer_c3,esol,fullft,0,random,regression,rmse,0.7347053839787796,PASS,34,50,50,2e-05,0.01,44375809,37.485132694244385,12763,dumped/baseline_esol_fullft_molformer_c3_random_seed0/model.pt,True,dumped/baseline_esol_fullft_molformer_c3_random_seed0/training.log
