backbone,dataset,seed,seed_group,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
chemberta2,bbbp,100,new_10_100_1000,classification,auc,0.9585855806274078,0.9580352228948816,0.0005503577325262077,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,1000,new_10_100_1000,classification,auc,0.9688920454545454,0.9686079545454546,0.00028409090909087276,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,0,existing_0_1_2,classification,auc,0.6407640257191135,0.641688592975528,-0.0009245672564145435,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,1,existing_0_1_2,classification,auc,0.5996781943023831,0.6015994214645294,-0.0019212271621462662,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,2,existing_0_1_2,classification,auc,0.5494574475408543,0.5557024269867524,-0.00624497944589808,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,10,new_10_100_1000,classification,auc,0.5652290321172547,0.56591889872558,-0.0006898666083252625,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,100,new_10_100_1000,classification,auc,0.6247420985508814,0.623915511014854,0.0008265875360273789,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,1000,new_10_100_1000,classification,auc,0.5850258369205921,0.5877066023329618,-0.0026807654123697233,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,0,existing_0_1_2,regression,rmse,1.0334410078083185,0.9993806053228679,-0.034060402485450614,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,1,existing_0_1_2,regression,rmse,1.0637826470319691,0.8920719372518675,-0.1717107097801016,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,2,existing_0_1_2,regression,rmse,1.5229076540045796,1.622880433657089,0.09997277965250939,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,10,new_10_100_1000,regression,rmse,1.1324465982844416,1.0930348919589314,-0.039411706325510165,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,100,new_10_100_1000,regression,rmse,0.925972673286875,1.0037181395988446,0.07774546631196955,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,1000,new_10_100_1000,regression,rmse,1.325263632332375,1.2533328447611514,-0.07193078757122362,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,0,existing_0_1_2,regression,rmse,0.8281434255025666,0.7560035903128893,-0.07213983518967726,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,1,existing_0_1_2,regression,rmse,0.6928922987335012,0.6783952376715828,-0.014497061061918393,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,2,existing_0_1_2,regression,rmse,0.6687070324722078,0.6874898346236111,0.018782802151403377,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,10,new_10_100_1000,regression,rmse,0.647930705561338,0.6638632980461692,0.015932592484831143,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,100,new_10_100_1000,regression,rmse,0.762356886956734,0.6410778352536456,-0.12127905170308839,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,1000,new_10_100_1000,regression,rmse,0.6282900522218354,0.569729624711557,-0.05856042751027846,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,0,existing_0_1_2,regression,rmse,0.6294550426388132,0.6428902514386271,0.013435208799813858,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,1,existing_0_1_2,regression,rmse,0.6677710703528624,0.6780011094655325,0.010230039112670064,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,2,existing_0_1_2,regression,rmse,0.632228982594937,0.6175437575060511,-0.014685225088885923,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,10,new_10_100_1000,regression,rmse,0.6693963082890737,0.6804913338593573,0.011095025570283634,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,100,new_10_100_1000,regression,rmse,0.6611041424844372,0.629270649416191,-0.03183349306824612,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,1000,new_10_100_1000,regression,rmse,0.7130981561287341,0.7173845340449497,0.004286377916215667,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,0,existing_0_1_2,classification,auc,0.8912466843501327,0.9181255526083112,-0.026878868258178534,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,1,existing_0_1_2,classification,auc,0.8699788583509513,0.841261451726568,0.02871740662438338,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,2,existing_0_1_2,classification,auc,0.8168325475816308,0.8486118386589837,-0.03177929107735289,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,10,new_10_100_1000,classification,auc,0.8935574229691877,0.8914565826330533,0.0021008403361344463,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,100,new_10_100_1000,classification,auc,0.8409407665505226,0.8071428571428572,0.03379790940766547,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,1000,new_10_100_1000,classification,auc,0.8993416493416494,0.8955301455301455,0.003811503811503858,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,0,existing_0_1_2,classification,auc,0.949390243902439,0.9570121951219512,-0.007621951219512257,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,1,existing_0_1_2,classification,auc,0.9787571337983513,0.9787571337983513,0.0,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,2,existing_0_1_2,classification,auc,0.9685319289005925,0.96550362080316,0.003028308097432486,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,10,new_10_100_1000,classification,auc,0.9658899020601148,0.9770347855454239,-0.011144883485309065,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,100,new_10_100_1000,classification,auc,0.9536323610346725,0.9536323610346725,0.0,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,1000,new_10_100_1000,classification,auc,0.9704545454545455,0.970028409090909,0.00042613636363642016,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,0,existing_0_1_2,classification,auc,0.6569651418205019,0.653021820121699,0.00394332169880296,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,1,existing_0_1_2,classification,auc,0.6221960808902127,0.6184832822332953,0.0037127986569174265,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,2,existing_0_1_2,classification,auc,0.5856731243682443,0.5844132703162578,0.0012598540519864754,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,10,new_10_100_1000,classification,auc,0.6203905149830161,0.6395639420375354,-0.0191734270545193,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,100,new_10_100_1000,classification,auc,0.6582432422262396,0.6522807223272055,0.00596251989903418,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,1000,new_10_100_1000,classification,auc,0.6146848346415512,0.6183761560563386,-0.0036913214147873408,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
