run_id,cell_index,backbone,dataset,method,seed,outcome,metric_name,metric_value,bad_diff,final_epoch,best_epoch,batch_size,lr,weight_decay,epochs_budget,patience,train_curve_path,checkpoint_path,duration_sec,error_class,error_message
r3_production_v1_20260528_030441,21,graphmvp_gin,bbbp,LoRA,2,PASS,auc,0.9418250059,0.0035186489,50,38,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_021_graphmvp_gin_bbbp_LoRA_seed2.pt,61.7,,
r3_production_v1_20260528_030441,22,graphmvp_gin,bbbp,DoRA,0,PASS,auc,0.8948591742,-0.0010937927,50,25,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_022_graphmvp_gin_bbbp_DoRA_seed0.pt,60.1,,
r3_production_v1_20260528_030441,23,graphmvp_gin,bbbp,DoRA,1,PASS,auc,0.8933333333,0.0008484849,38,8,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_023_graphmvp_gin_bbbp_DoRA_seed1.pt,60.2,,
r3_production_v1_20260528_030441,24,graphmvp_gin,bbbp,DoRA,2,PASS,auc,0.938306357,0.0035186489,50,38,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_024_graphmvp_gin_bbbp_DoRA_seed2.pt,60.2,,
r3_production_v1_20260528_030441,25,unimol2_84m,bbbp,LoRA,0,PASS,AUROC,0.8818886735,0.0414705068,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,1022.4,,
r3_production_v1_20260528_030441,26,unimol2_84m,bbbp,LoRA,1,PASS,AUROC,0.8755813953,-0.0280523256,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,1022.1,,
r3_production_v1_20260528_030441,27,unimol2_84m,bbbp,LoRA,2,PASS,AUROC,0.899822695,0.0054555373,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,1022.3,,
r3_production_v1_20260528_030441,28,graphmvp_gin,freesolv,LoRA,0,PASS,rmse,2.166429445,0.002388366,46,16,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_028_graphmvp_gin_freesolv_LoRA_seed0.pt,60.2,,
r3_production_v1_20260528_030441,29,graphmvp_gin,freesolv,LoRA,1,PASS,rmse,1.728797596,0.003555611,43,13,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_029_graphmvp_gin_freesolv_LoRA_seed1.pt,60.1,,
r3_production_v1_20260528_030441,30,graphmvp_gin,freesolv,LoRA,2,PASS,rmse,3.214518341,-0.038284413,50,43,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_030_graphmvp_gin_freesolv_LoRA_seed2.pt,60.4,,
r3_production_v1_20260528_030441,31,graphmvp_gin,freesolv,DoRA,0,PASS,rmse,2.168817811,0.002388366,46,16,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_031_graphmvp_gin_freesolv_DoRA_seed0.pt,60.1,,
r3_production_v1_20260528_030441,32,graphmvp_gin,freesolv,DoRA,1,PASS,rmse,1.732353207,0.003555611,43,13,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_032_graphmvp_gin_freesolv_DoRA_seed1.pt,60.1,,
r3_production_v1_20260528_030441,33,graphmvp_gin,freesolv,DoRA,2,PASS,rmse,3.176233928,-0.038284413,50,43,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_033_graphmvp_gin_freesolv_DoRA_seed2.pt,60.1,,
r3_production_v1_20260528_030441,34,unimol2_84m,freesolv,LoRA,0,PASS,RMSE,1.732774377,0.992854953,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,300.9,,
