backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,lipo,dora,32,1,random,rmse,regression,0.669836,0.670496,-0.0006599999999999939,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_dora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,32,2,random,rmse,regression,0.544323,0.57863,-0.034306999999999976,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_dora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,8,0,random,auc,classification,0.94023,0.938638,-0.0015920000000000378,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_lora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,8,1,random,auc,classification,0.861875,0.859937,-0.0019379999999999953,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_lora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,8,2,random,auc,classification,0.846691,0.836738,-0.00995299999999999,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,32,0,random,auc,classification,0.945358,0.938638,-0.006720000000000059,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,32,1,random,auc,classification,0.832629,0.859937,0.027308,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_lora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,32,2,random,auc,classification,0.871486,0.836738,-0.034748,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_lora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,8,0,random,auc,classification,0.942882,0.93015,-0.012731999999999966,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_dora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,8,1,random,auc,classification,0.856061,0.859056,0.002995000000000081,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_dora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,8,2,random,auc,classification,0.863454,0.871137,0.007682999999999995,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_dora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,32,0,random,auc,classification,0.942529,0.93015,-0.012378999999999918,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_dora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,32,1,random,auc,classification,0.860817,0.859056,-0.0017610000000000126,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_dora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,32,2,random,auc,classification,0.86293,0.871137,0.008207000000000075,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bace_dora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,8,0,random,auc,classification,0.950762,0.951677,0.0009149999999999991,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_lora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,8,1,random,auc,classification,0.954502,0.944515,-0.009986999999999968,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_lora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,8,2,random,auc,classification,0.970507,0.96761,-0.0028970000000000384,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,0,random,auc,classification,0.941921,0.951677,0.009755999999999987,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,1,random,auc,classification,0.948954,0.944515,-0.004438999999999971,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_lora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,2,random,auc,classification,0.95609,0.96761,0.011519999999999975,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_lora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,8,0,random,auc,classification,0.907317,0.952896,0.045578999999999925,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_dora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,8,1,random,auc,classification,0.960368,0.952124,-0.008244000000000029,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_dora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,8,2,random,auc,classification,0.97077,0.97235,0.0015800000000000258,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_dora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,0,random,auc,classification,0.938872,0.952896,0.014023999999999925,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_dora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,1,random,auc,classification,0.949905,0.952124,0.002218999999999971,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_dora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,2,random,auc,classification,0.959381,0.97235,0.012969000000000008,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_bbbp_dora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,8,0,random,auc,classification,0.701357,0.691534,-0.009823000000000026,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_lora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,8,1,random,auc,classification,0.634116,0.644994,0.010877999999999943,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_lora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,8,2,random,auc,classification,0.580549,0.593275,0.012726000000000015,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_seed2/run_0/model_0/model.pt
