index,backbone,method_comparison,protocol,alt_bootstrap_seed,n_pairs,locked_lower,locked_upper,alt_lower,alt_upper,alt_bootstrap_mean,locked_includes_zero,alt_includes_zero,invariant,zero_inclusion_changed
15,molformer_c3,fullft_vs_lora,scaffold,2,36,-0.04017423473444209,0.005945930404102099,-0.03998696993767388,0.006697368936283563,-0.015554112117801035,True,True,True,False
15,molformer_c3,fullft_vs_lora,scaffold,7,36,-0.04017423473444209,0.005945930404102099,-0.04059971043273283,0.006196094279307913,-0.01572955532052111,True,True,True,False
15,molformer_c3,fullft_vs_lora,scaffold,100,36,-0.04017423473444209,0.005945930404102099,-0.0406808008425197,0.006531124836400596,-0.015830068318188548,True,True,True,False
16,molformer_c3,fullft_vs_lora,random,0,36,-0.05277044680603733,-0.011208391350112852,-0.052771317713079025,-0.010499650809928889,-0.032048177570647506,False,False,True,False
16,molformer_c3,fullft_vs_lora,random,1,36,-0.05277044680603733,-0.011208391350112852,-0.05255535492204973,-0.011032420341019948,-0.03218127869492654,False,False,True,False
16,molformer_c3,fullft_vs_lora,random,2,36,-0.05277044680603733,-0.011208391350112852,-0.05244634951278347,-0.011204943497240851,-0.03230234494764788,False,False,True,False
16,molformer_c3,fullft_vs_lora,random,7,36,-0.05277044680603733,-0.011208391350112852,-0.052383401828465743,-0.011276162648011602,-0.032141627191080255,False,False,True,False
16,molformer_c3,fullft_vs_lora,random,100,36,-0.05277044680603733,-0.011208391350112852,-0.052657278654541465,-0.01058351185088649,-0.032041354949282966,False,False,True,False
17,molformer_c3,fullft_vs_dora,scaffold,0,36,-0.04043216422264503,-0.00019835400137668084,-0.04021533172756642,0.0002018370391279653,-0.01974747049779312,False,True,False,True
17,molformer_c3,fullft_vs_dora,scaffold,1,36,-0.04043216422264503,-0.00019835400137668084,-0.039349791365125744,2.018466159456657e-06,-0.01956949582472095,False,True,False,True
17,molformer_c3,fullft_vs_dora,scaffold,2,36,-0.04043216422264503,-0.00019835400137668084,-0.040088596810925185,8.847049329315624e-05,-0.01963699383561002,False,True,False,True
17,molformer_c3,fullft_vs_dora,scaffold,7,36,-0.04043216422264503,-0.00019835400137668084,-0.04017494425523968,-2.3052095837875605e-05,-0.019842138116250088,False,False,True,False
17,molformer_c3,fullft_vs_dora,scaffold,100,36,-0.04043216422264503,-0.00019835400137668084,-0.04028905568319652,1.6312690013636905e-05,-0.01977138572101008,False,True,False,True
18,molformer_c3,fullft_vs_dora,random,0,36,-0.033831447668974925,-0.00976781480690735,-0.03380938198872357,-0.009360453046320442,-0.021227963646627747,False,False,True,False
18,molformer_c3,fullft_vs_dora,random,1,36,-0.033831447668974925,-0.00976781480690735,-0.03394712689949393,-0.009606186366460313,-0.021233635215829286,False,False,True,False
18,molformer_c3,fullft_vs_dora,random,2,36,-0.033831447668974925,-0.00976781480690735,-0.03408519242314185,-0.00982318246818343,-0.02132934616163937,False,False,True,False
18,molformer_c3,fullft_vs_dora,random,7,36,-0.033831447668974925,-0.00976781480690735,-0.03375122660858702,-0.009568075350667758,-0.02120819165165844,False,False,True,False
18,molformer_c3,fullft_vs_dora,random,100,36,-0.033831447668974925,-0.00976781480690735,-0.03420606638302242,-0.009541197862615402,-0.021244262322656304,False,False,True,False
