dataset,backbone,method,protocol,seed,n_test,ECE_10bin,BrierScore,status
sider,cmpnn,lora,scaffold,0,144,0.029182660137351074,0.16756341552209433,PASS
sider,cmpnn,lora,scaffold,1,144,0.07971267477914004,0.17709436586579408,PASS
sider,cmpnn,lora,scaffold,2,144,0.021427254121957305,0.1624886339096791,PASS
sider,cmpnn,lora,random,0,143,0.056237027594968285,0.16691685678442789,PASS
sider,cmpnn,lora,random,1,143,0.02910433897764388,0.17248447056954636,PASS
sider,cmpnn,lora,random,2,143,0.05827097441298783,0.17965250936983937,PASS
sider,cmpnn,dora,scaffold,0,144,0.04374808916611762,0.16650377777379508,PASS
sider,cmpnn,dora,scaffold,1,144,0.07774410585222633,0.17799852984342762,PASS
sider,cmpnn,dora,scaffold,2,144,0.02731808432025277,0.16222921947713098,PASS
sider,cmpnn,dora,random,0,143,0.048409816874314476,0.16293678715716625,PASS
sider,cmpnn,dora,random,1,143,0.027186179177163688,0.17189030899019722,PASS
sider,cmpnn,dora,random,2,143,0.05946026922444542,0.1784916420615181,PASS
sider,chemberta2,lora,scaffold,0,144,0.029222950443276673,0.1695129022187341,PASS
sider,chemberta2,lora,scaffold,1,144,0.06610529822090912,0.1763285420003446,PASS
sider,chemberta2,lora,scaffold,2,144,0.01865758524691193,0.16557948993133279,PASS
sider,chemberta2,lora,random,0,143,0.040253938506923,0.17019606491063455,PASS
sider,chemberta2,lora,random,1,143,0.06429935338608081,0.1821327085445746,PASS
sider,chemberta2,lora,random,2,143,0.05072763571501207,0.1774119209599435,PASS
sider,chemberta2,dora,scaffold,0,144,0.029657942399098972,0.16953972317388472,PASS
sider,chemberta2,dora,scaffold,1,144,0.04275874383500854,0.17416542090857748,PASS
sider,chemberta2,dora,scaffold,2,144,0.018347727214829416,0.16562043990612832,PASS
sider,chemberta2,dora,random,0,143,0.04062293782662356,0.17010361918327405,PASS
sider,chemberta2,dora,random,1,143,0.03690632802816103,0.1760178527264184,PASS
sider,chemberta2,dora,random,2,143,0.0509214806007412,0.17723338089883411,PASS
sider,molformer_c3,lora,scaffold,0,144,0.053904270720807064,0.1692087365138843,PASS
sider,molformer_c3,lora,scaffold,1,144,0.04495690488660136,0.1701048509719399,PASS
sider,molformer_c3,lora,scaffold,2,144,0.04114507730111748,0.16768601936889746,PASS
sider,molformer_c3,lora,random,0,143,0.0369665043646717,0.16735305247052112,PASS
sider,molformer_c3,lora,random,1,143,0.03038436770372211,0.17333591687110472,PASS
sider,molformer_c3,lora,random,2,143,0.037940007142628074,0.17329609378091382,PASS
sider,molformer_c3,dora,scaffold,0,144,0.05391232117668222,0.16924774704732914,PASS
sider,molformer_c3,dora,scaffold,1,144,0.043890769686597816,0.1719607091156041,PASS
sider,molformer_c3,dora,scaffold,2,144,0.03924360971537572,0.16754841586915006,PASS
sider,molformer_c3,dora,random,0,143,0.03532864882251814,0.1672985144913375,PASS
sider,molformer_c3,dora,random,1,143,0.026934227665437138,0.1732113380166396,PASS
sider,molformer_c3,dora,random,2,143,0.04719814044971918,0.17590802726692376,PASS
