backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,bace,dora,8,1,scaffold,auc,classification,0.887631,0.903136,0.015505000000000102,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_dora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,8,2,scaffold,auc,classification,0.827647,0.847059,0.019411999999999985,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_dora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,32,0,scaffold,auc,classification,0.836699,0.853556,0.01685700000000001,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_dora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,32,1,scaffold,auc,classification,0.927003,0.903136,-0.02386699999999997,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_dora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,32,2,scaffold,auc,classification,0.844902,0.847059,0.0021569999999999645,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_dora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,8,0,scaffold,auc,classification,0.959666,0.958709,-0.0009569999999999856,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_lora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,8,1,scaffold,auc,classification,0.916727,0.913697,-0.003029999999999977,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_lora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,8,2,scaffold,auc,classification,0.966221,0.943174,-0.02304700000000004,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_lora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,0,scaffold,auc,classification,0.96117,0.958709,-0.0024609999999999355,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_lora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,1,scaffold,auc,classification,0.918061,0.913697,-0.0043640000000000345,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_lora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed1/run_0/model_0/model.pt
